[[1621, 2729],[1706, 2750],[1795, 2772],[1881, 2793],[1966, 2815],[2052, 2836],[2141, 2858],[2226, 2880],[2311, 2901],[2400, 2923],[2486, 2945],[2568, 2966],[2648, 2992],[2712, 3018],[2780, 3067],[2843, 3128],[2907, 3194],[2981, 3256],[3073, 3309],[3170, 3338],[3266, 3349],[3367, 3346],[3467, 3326],[3560, 3287],[3644, 3231],[3712, 3163],[3770, 3080],[3810, 2988],[3831, 2889],[3833, 2784],[3827, 2696],[3817, 2609],[3808, 2521],[3813, 2451],[3842, 2388],[3891, 2333],[3957, 2275],[4024, 2218],[4092, 2162],[4161, 2101],[4228, 2038],[4293, 1966],[4348, 1893],[4398, 1810],[4439, 1727],[4475, 1642],[4504, 1555],[4526, 1470],[4554, 1397],[4588, 1360],[4634, 1361],[4710, 1395],[4786, 1439],[4862, 1483],[4946, 1521],[5047, 1549],[5147, 1550],[5246, 1530],[5337, 1496],[5422, 1461],[5503, 1427],[5584, 1393],[5669, 1357],[5750, 1322],[5830, 1287],[5915, 1250],[5995, 1215],[6080, 1177],[6159, 1140],[6242, 1099],[6321, 1044],[6395, 966],[6448, 880],[6483, 784],[6497, 683],[6488, 577],[6455, 481],[6407, 397],[6336, 318],[6252, 261],[6153, 225],[6053, 211],[5956, 214],[5860, 230],[5771, 254],[5686, 277],[5602, 300],[5512, 325],[5428, 348],[5343, 371],[5258, 393],[5169, 417],[5084, 440],[4999, 463],[4910, 486],[4825, 509],[4740, 531],[4659, 551],[4582, 561],[4514, 546],[4445, 509],[4381, 463],[4313, 407],[4242, 348],[4169, 292],[4093, 240],[3990, 201],[3884, 192],[3783, 204],[3687, 236],[3601, 288],[3528, 358],[3472, 447],[3438, 546],[3429, 646],[3442, 750],[3473, 841],[3509, 922],[3549, 1005],[3587, 1084],[3621, 1165],[3641, 1241],[3639, 1306],[3612, 1366],[3563, 1416],[3496, 1473],[3426, 1532],[3358, 1589],[3290, 1644],[3223, 1700],[3151, 1759],[3083, 1814],[3015, 1869],[2943, 1927],[2874, 1982],[2806, 2037],[2736, 2090],[2666, 2135],[2600, 2160],[2530, 2165],[2452, 2153],[2366, 2133],[2277, 2111],[2192, 2089],[2107, 2068],[2017, 2045],[1932, 2023],[1847, 2001],[1758, 1978],[1673, 1956],[1587, 1934],[1502, 1912],[1413, 1888],[1328, 1866],[1243, 1843],[1159, 1820],[1074, 1797],[994, 1773],[933, 1739],[923, 1714],[944, 1652],[992, 1584],[1046, 1515],[1103, 1442],[1157, 1373],[1211, 1304],[1265, 1235],[1323, 1163],[1378, 1094],[1434, 1027],[1493, 961],[1554, 905],[1616, 865],[1683, 844],[1762, 839],[1850, 838],[1937, 838],[2030, 838],[2118, 839],[2205, 842],[2293, 846],[2366, 860],[2417, 894],[2453, 949],[2466, 1005],[2458, 1075],[2425, 1141],[2377, 1178],[2308, 1195],[2238, 1199],[2181, 1176],[2107, 1128],[2024, 1078],[1936, 1039],[1834, 1015],[1733, 1017],[1632, 1046],[1544, 1094],[1465, 1164],[1406, 1252],[1371, 1351],[1362, 1452],[1378, 1556],[1422, 1652],[1490, 1733],[1577, 1792],[1671, 1829],[1761, 1848],[1851, 1866],[1938, 1884],[2028, 1901],[2115, 1916],[2206, 1929],[2298, 1939],[2394, 1942],[2494, 1929],[2590, 1897],[2675, 1852],[2750, 1798],[2824, 1743],[2893, 1689],[2966, 1632],[3035, 1578],[3107, 1520],[3175, 1465],[3245, 1405],[3315, 1332],[3368, 1242],[3393, 1141],[3389, 1036],[3360, 935],[3318, 849],[3274, 773],[3226, 694],[3180, 619],[3131, 541],[3084, 467],[3033, 389],[2976, 312],[2908, 243],[2826, 184],[2739, 142],[2642, 113],[2546, 101],[2449, 100],[2357, 107],[2269, 113],[2182, 120],[2090, 127],[2002, 133],[1915, 140],[1823, 147],[1735, 154],[1647, 162],[1556, 170],[1468, 180],[1377, 192],[1283, 215],[1190, 255],[1106, 311],[1035, 377],[971, 450],[918, 519],[862, 593],[810, 664],[758, 735],[704, 810],[652, 880],[597, 942],[537, 986],[467, 1023],[382, 1069],[301, 1128],[232, 1197],[175, 1280],[134, 1373],[110, 1471],[100, 1563],[100, 1659],[110, 1751],[131, 1846],[160, 1933],[198, 2022],[244, 2108],[296, 2190],[353, 2268],[418, 2338],[493, 2398],[580, 2447],[665, 2482],[756, 2510],[841, 2532],[926, 2554],[1015, 2577],[1101, 2598],[1186, 2620],[1275, 2642],[1361, 2664],[1446, 2685],[1535, 2707]]
[[1701, 2394],[1793, 2417],[1868, 2435],[1960, 2458],[2051, 2480],[2143, 2503],[2218, 2521],[2310, 2544],[2402, 2566],[2477, 2585],[2568, 2608],[2676, 2638],[2780, 2677],[2932, 2773],[3009, 2854],[3072, 2924],[3125, 2980],[3171, 3018],[3191, 3030],[3229, 3044],[3288, 3053],[3328, 3051],[3368, 3042],[3406, 3024],[3439, 3000],[3480, 2957],[3504, 2923],[3523, 2886],[3533, 2846],[3532, 2823],[3520, 2729],[3510, 2635],[3503, 2540],[3519, 2376],[3588, 2226],[3684, 2114],[3755, 2051],[3826, 1989],[3898, 1927],[3955, 1876],[4010, 1821],[4049, 1777],[4095, 1715],[4126, 1664],[4162, 1596],[4192, 1526],[4218, 1453],[4246, 1362],[4300, 1244],[4471, 1084],[4721, 1078],[4826, 1119],[4913, 1158],[4998, 1200],[5067, 1233],[5090, 1242],[5131, 1244],[5172, 1237],[5229, 1220],[5300, 1192],[5387, 1155],[5474, 1118],[5545, 1087],[5631, 1049],[5718, 1011],[5788, 979],[5875, 940],[5944, 908],[6030, 868],[6099, 835],[6149, 803],[6165, 788],[6188, 755],[6202, 717],[6205, 676],[6202, 654],[6191, 615],[6161, 564],[6145, 547],[6111, 525],[6089, 517],[6049, 509],[5990, 511],[5932, 521],[5858, 542],[5767, 567],[5675, 592],[5601, 612],[5510, 637],[5418, 662],[5327, 687],[5253, 707],[5161, 731],[5070, 755],[4995, 775],[4904, 799],[4812, 822],[4702, 846],[4572, 856],[4409, 825],[4291, 768],[4185, 692],[4113, 631],[4055, 581],[3995, 533],[3932, 489],[3927, 488],[3904, 486],[3864, 492],[3825, 506],[3790, 529],[3761, 558],[3749, 579],[3741, 601],[3738, 642],[3743, 666],[3763, 722],[3798, 810],[3828, 881],[3865, 968],[3901, 1056],[3937, 1181],[3939, 1364],[3870, 1532],[3757, 1653],[3685, 1714],[3626, 1763],[3553, 1823],[3479, 1883],[3406, 1943],[3346, 1991],[3272, 2051],[3198, 2110],[3138, 2158],[3064, 2217],[2990, 2275],[2914, 2332],[2821, 2396],[2669, 2459],[2504, 2470],[2376, 2448],[2284, 2426],[2209, 2408],[2117, 2385],[2025, 2363],[1951, 2344],[1859, 2322],[1767, 2299],[1692, 2280],[1601, 2257],[1509, 2233],[1417, 2210],[1343, 2190],[1251, 2166],[1160, 2141],[1069, 2116],[978, 2089],[871, 2053],[730, 1967],[622, 1660],[692, 1491],[757, 1400],[815, 1325],[862, 1264],[921, 1190],[980, 1116],[1040, 1042],[1088, 983],[1148, 909],[1209, 837],[1272, 766],[1350, 685],[1470, 598],[1627, 546],[1756, 536],[1851, 535],[1946, 535],[2023, 536],[2117, 538],[2212, 541],[2307, 545],[2452, 568],[2626, 667],[2733, 814],[2777, 1025],[2741, 1186],[2670, 1315],[2522, 1449],[2365, 1498],[2201, 1507],[2015, 1436],[1936, 1383],[1887, 1351],[1832, 1328],[1809, 1322],[1768, 1323],[1745, 1329],[1708, 1348],[1691, 1364],[1678, 1383],[1670, 1406],[1665, 1446],[1668, 1470],[1679, 1491],[1695, 1508],[1715, 1520],[1753, 1536],[1828, 1554],[1903, 1568],[1996, 1586],[2072, 1600],[2166, 1615],[2242, 1626],[2318, 1635],[2377, 1638],[2418, 1632],[2458, 1619],[2511, 1592],[2575, 1550],[2637, 1504],[2711, 1446],[2772, 1398],[2845, 1338],[2904, 1289],[2976, 1228],[3034, 1176],[3063, 1146],[3077, 1126],[3085, 1103],[3083, 1079],[3076, 1056],[3050, 1003],[3003, 920],[2964, 854],[2915, 773],[2875, 707],[2825, 627],[2783, 562],[2749, 514],[2708, 472],[2675, 447],[2622, 420],[2583, 409],[2524, 401],[2465, 401],[2389, 406],[2294, 414],[2200, 421],[2123, 427],[2029, 435],[1934, 442],[1858, 449],[1763, 457],[1669, 466],[1593, 473],[1498, 484],[1422, 495],[1365, 510],[1327, 526],[1292, 548],[1248, 587],[1208, 631],[1150, 705],[1104, 767],[1047, 843],[991, 919],[945, 980],[888, 1056],[816, 1143],[703, 1238],[588, 1300],[537, 1329],[503, 1354],[461, 1394],[437, 1428],[419, 1465],[411, 1505],[405, 1582],[406, 1641],[412, 1718],[422, 1776],[442, 1850],[464, 1905],[494, 1955],[531, 2001],[570, 2045],[614, 2086],[664, 2119],[702, 2138],[775, 2164],[833, 2181],[925, 2204],[1016, 2226],[1092, 2245],[1183, 2267],[1275, 2290],[1350, 2308],[1442, 2331],[1534, 2353],[1609, 2372]]
[[1795, 2772],[1868, 2435]]
[[2486, 2945],[2568, 2608]]
[[3170, 3338],[3229, 3044]]
[[3827, 2696],[3520, 2729]]
[[4092, 2162],[3898, 1927]]
[[4504, 1555],[4218, 1453]]
[[4946, 1521],[5067, 1233]]
[[5750, 1322],[5631, 1049]]
[[6448, 880],[6188, 755]]
[[5860, 230],[5932, 521]]
[[5169, 417],[5253, 707]]
[[4514, 546],[4409, 825]]
[[3783, 204],[3864, 492]]
[[3587, 1084],[3865, 968]]
[[3358, 1589],[3553, 1823]]
[[2806, 2037],[2990, 2275]]
[[2192, 2089],[2117, 2385]]
[[1502, 1912],[1417, 2210]]
[[923, 1714],[622, 1660]]
[[1323, 1163],[1088, 983]]
[[1850, 838],[1851, 535]]
[[2453, 949],[2733, 814]]
[[2107, 1128],[1936, 1383]]
[[1378, 1556],[1668, 1470]]
[[2115, 1916],[2166, 1615]]
[[2893, 1689],[2711, 1446]]
[[3389, 1036],[3083, 1079]]
[[2976, 312],[2749, 514]]
[[2090, 127],[2123, 427]]
[[1377, 192],[1422, 495]]
[[758, 735],[991, 919]]
[[175, 1280],[437, 1428]]
[[244, 2108],[494, 1955]]
[[841, 2532],[925, 2204]]
[[1535, 2707],[1609, 2372]]
[[1621, 2729],[1701, 2394]]
